pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
oː->ɑː,oxaback,71.0,468.0,3,3.922130966082486,-1.2066458587786997,2.5125446255403747,-2.819172681084222
oː->ɑː,pitea,233.0,141.0,3,6.951861259703862,0.7278970338173187,3.8398791467605897,-6.22396422588654
oː->ɑː,ragunda,145.0,241.0,3,6.120442204040755,3.2590283013623336,6.226981208203227,-6.298019423903185
oː->ɑː,rimforsa,134.0,437.0,3,0.13414156155523732,0.507207155198416,0.3206743583768255,0.37306559364318304
oː->ɑː,s_finnskoga,74.0,333.0,3,-14.70352825575021,-18.075127194771778,-22.15562529089882,3.5425733207887973
oː->ɑː,s_mellosa,129.0,395.0,3,-15.897794075632962,-10.618934361426511,-14.45535945173382,2.7928832804435118
oː->ɑː,saltvik,221.0,350.0,3,-10.274871034970891,-5.4953902318503545,-7.672929873106273,4.932129221296282
oː->ɑː,segerstad,153.0,510.0,3,-1.9354553642522558,-0.941687236426906,-2.540521181822232,3.1976678907906546
oː->ɑː,skee,42.0,404.0,3,-28.790857243225243,-31.71336411891551,-28.856806747648,-5.713114742535005
oː->ɑː,skinnskatteberg,135.0,371.0,2,-5.55091317158926,5.681008850431764,0.06504783942125236,11.231922022021031
oː->ɑː,skog,157.0,317.0,3,2.028365018430502,0.5730893771933249,1.9145462745738415,-2.9945262724543475
oː->ɑː,skuttunge,171.0,364.0,2,-17.945523611961413,-7.8397689301365485,-12.89264627104898,10.105754681824862
oː->ɑː,sorsele,166.0,143.0,4,7.144637398614686,5.5200047018207155,9.691842486622766,-10.702388776187895
oː->ɑː,sorunda,181.0,406.0,2,-15.385786743893133,-12.651128997457597,-14.018457870675366,2.7346577464355377
oː->ɑː,sproge,190.0,475.0,1,0.3810609888586094,6.168852655989379,3.274956822423995,5.787791667130772
oː->ɑː,st_anna,157.0,436.0,4,-2.140191835070595,-1.4099705558002982,-1.6289162625258,1.8218534854618955
oː->ɑː,stenberga,128.0,474.0,3,1.1366929022640084,-2.6740907477614235,-3.1573560486292993,-8.588097901786615
oː->ɑː,storsjo,87.0,251.0,3,7.156123688290579,2.1297557032982564,5.0885521746224684,-8.184921253683822
oː->ɑː,strom,132.0,211.0,3,2.0509007226234575,-5.250724786993558,3.8107348763917703,4.530171652765475
oː->ɑː,tjallmo,128.0,416.0,3,-11.851960295973077,-11.980497188339827,-13.933177284150974,3.905360191622293
oː->ɑː,torhamn,135.0,521.0,3,9.478437566417199,5.891532981488943,7.68498527395307,-21.71107323196766
oː->ɑː,torp,145.0,265.0,2,1.1214062584773876,4.089368054362559,2.605387156419974,2.9679617958851736
oː->ɑː,torsas,144.0,504.0,3,14.845952217314583,2.0134107806216237,8.864654229314572,-10.968315077644963
oː->ɑː,torso,95.0,414.0,3,-13.638858046976145,-14.821323665262561,-14.230090856119356,-3.2449206989887003
oː->ɑː,v_vingaker,139.0,402.0,3,-20.547503509804983,-19.742135697788584,-20.200656477862346,0.6936940638852782
oː->ɑː,vackelsang,116.0,500.0,3,11.471531511600334,0.35991838768688356,5.915724949643609,-6.865767222930867
oː->ɑː,vaxtorp,78.0,504.0,3,30.712328146991638,5.216294754473485,17.96431145073256,-23.244085894440236
oː->ɑː,vemdalen,102.0,266.0,3,-3.6484776001825847,-9.144543666707412,-6.396510633444998,-5.4960660665248255
oː->ɑː,viby,116.0,402.0,2,-3.473596090324595,0.7778013390417589,-1.3478973756414188,4.251397429366358
